Bx_1,Bx_2,Bx_3,Bx_4,By_1,By_2,By_3,By_4
5.4297,5.5463968749644135,5.663093749928827,5.227499999999999,4.6494,3.5356758967716218,2.421951793543244,1.9055
5.227499999999999,4.791906250071173,3.804021875249103,2.9865,1.9055,1.3890482064567555,1.4698687225986449,1.7429
2.9865,2.168978124750897,1.5218187490747597,1.4531999999999998,1.7429,2.015931277401355,2.4811733160621756,3.8973999999999998
1.4531999999999998,1.3845812509252404,1.8945031284518588,2.1777999999999995,3.8973999999999998,5.313626683937823,7.68083801315265,8.003
2.1777999999999995,2.4610968715481407,2.5177687371178044,3.2897999999999996,8.003,8.325161986847348,6.602274631327221,6.742900000000001
3.2897999999999996,4.061831262882196,5.549221923076923,6.8113,6.742900000000001,6.883525368672778,8.887663461538462,9.120900000000002
6.8113,8.073378076923078,9.110143570574504,9.0691,9.120900000000002,9.354136538461539,7.816471522518932,7.2917000000000005
9.0691,9.028056429425497,7.909203794625064,7.299899999999999,7.2917000000000005,6.766928477481068,7.255050448385811,6.438
7.299899999999999,6.690596205374935,6.59084125092524,7.215699999999998,6.438,5.6209495516141885,3.4987266839378237,2.8404
7.215699999999998,7.840558749074758,9.190031201673971,9.271299999999998,2.8404,2.182073316062176,2.9876428158628934,2.7795
9.271299999999998,9.352568798326026,8.165633942378864,7.4853,2.7795,2.5713571841371063,1.3495020526106019,0.9502
7.4853,6.804966057621135,6.631233028810567,6.4575,0.9502,0.5508979473893982,0.9741489736946991,1.3974
